## xgal,ygal,zgal,mgal,rhgas,rhstar,R200,M200,RTopHat,MTopHat 
54.080799,85.610092,12.289504,4246571008.000000,83.561172,3.156475,132.641159,249195315200.000000,174.252762,288436912128.000000 
24.627279,66.632263,10.414234,39494868992.000000,2.669391,3.691001,672.236206,32441261621248.000000,926.452820,43346852577280.000000 
76.042358,84.437202,10.313441,2434602496.000000,69.014603,3.130683,132.046478,245862039552.000000,175.479156,294572097536.000000 
45.157368,72.860451,12.960690,1087803008.000000,86.032700,3.148294,128.161362,224801439744.000000,173.204102,283285716992.000000 
49.151814,71.824364,10.315841,3281076480.000000,81.843887,3.251893,136.834930,273585537024.000000,179.771957,316718120960.000000 
26.205307,38.967632,13.605783,2910866176.000000,71.535500,2.841256,132.753525,249869778944.000000,176.722443,300875644928.000000 
87.240356,11.482504,10.820391,2767500544.000000,77.744385,2.335018,132.373016,247701880832.000000,173.705505,285708189696.000000 
43.249485,8.172466,11.653974,3709160448.000000,79.274216,2.831517,130.241837,235940265984.000000,171.942993,277127004160.000000 
82.855972,0.573116,13.848263,1783753088.000000,39.765652,3.097562,123.889191,203072962560.000000,163.858734,239824109568.000000 
83.312035,40.680058,12.018004,3541068800.000000,64.405861,3.304848,128.659668,227437117440.000000,169.407379,265037381632.000000 
69.339874,91.100975,14.802328,2795128576.000000,48.025974,2.468754,127.860397,223238750208.000000,167.262970,255130386432.000000 
63.871227,28.990391,11.324347,1132945152.000000,77.430374,2.448663,126.030235,213772500992.000000,167.074402,254252466176.000000 
90.265511,65.153572,10.235566,3118622208.000000,0.932243,2.028673,131.869583,244912799744.000000,170.572632,270577549312.000000 
22.151819,59.924507,10.624166,1348675328.000000,69.967445,2.867969,126.472595,216020500480.000000,165.878235,248797265920.000000 
40.367962,72.756180,12.028050,5125804032.000000,35.697109,4.823386,119.775795,183497490432.000000,156.208908,207797911552.000000 
80.753624,37.307621,10.216352,1021578432.000000,26.998341,3.393470,120.137070,185170837504.000000,157.861130,214438297600.000000 
52.593288,92.234749,14.937970,1656739456.000000,45.153889,3.545418,119.345078,181516910592.000000,158.741547,218061750272.000000 
86.771286,69.599922,13.257545,2128518784.000000,0.000000,3.791002,502.493134,13550729822208.000000,675.704041,16818752192512.000000 
